iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision
iteration_8,fold_5,0.1851851851851852,0.925,0.8148148148148148,0.7619047619047619,0.8648648648648648,0.8809523809523809,1.0
iteration_8,fold_6,0.2592592592592593,1.0,0.7407407407407407,0.8095238095238095,0.8292682926829269,0.6547619047619048,0.85
iteration_8,fold_7,0.1923076923076923,1.0,0.8076923076923077,0.9047619047619048,0.8837209302325582,0.6523809523809523,0.8636363636363636
iteration_8,fold_8,0.1538461538461538,1.0,0.8461538461538461,0.8571428571428571,0.9,0.8285714285714286,0.9473684210526316
iteration_8,fold_9,0.1923076923076923,1.0,0.8076923076923077,0.8095238095238095,0.8717948717948718,0.8047619047619049,0.9444444444444444
iteration_9,fold_0,0.1851851851851852,0.9166666666666666,0.8148148148148148,0.8181818181818182,0.8780487804878049,0.8090909090909092,0.9473684210526316
iteration_9,fold_1,0.2962962962962963,1.0,0.7037037037037037,0.7272727272727273,0.7999999999999999,0.6636363636363637,0.8888888888888888
iteration_9,fold_2,0.3333333333333333,1.0,0.6666666666666666,0.7619047619047619,0.7804878048780488,0.5476190476190477,0.8
iteration_9,fold_3,0.1851851851851852,1.0,0.8148148148148148,0.8571428571428571,0.8780487804878048,0.7619047619047621,0.9
iteration_9,fold_4,0.2222222222222222,0.9125,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.6785714285714286,0.8571428571428571
iteration_9,fold_5,0.2592592592592593,1.0,0.7407407407407407,0.8095238095238095,0.8292682926829269,0.6547619047619048,0.85
iteration_9,fold_6,0.2592592592592593,1.0,0.7407407407407407,0.7619047619047619,0.8205128205128205,0.7142857142857143,0.8888888888888888
iteration_9,fold_7,0.2307692307692307,0.946058091286307,0.7692307692307693,0.7142857142857143,0.8333333333333333,0.8571428571428572,1.0
iteration_9,fold_8,0.2307692307692307,0.95850622406639,0.7692307692307693,0.7142857142857143,0.8333333333333333,0.8571428571428572,1.0
iteration_9,fold_9,0.2307692307692307,1.0,0.7692307692307693,0.8095238095238095,0.8500000000000001,0.7047619047619047,0.8947368421052632
iteration_10,fold_0,0.3333333333333333,1.0,0.6666666666666666,0.7272727272727273,0.7804878048780488,0.5636363636363636,0.8421052631578947
iteration_10,fold_1,0.1851851851851852,1.0,0.8148148148148148,0.8636363636363636,0.8837209302325582,0.7318181818181818,0.9047619047619048
iteration_10,fold_2,0.2592592592592593,0.9708333333333332,0.7407407407407407,0.6666666666666666,0.8,0.8333333333333333,1.0
iteration_10,fold_3,0.4074074074074074,0.925,0.5925925925925926,0.6190476190476191,0.7027027027027026,0.5595238095238095,0.8125
iteration_10,fold_4,0.2962962962962963,0.9416666666666668,0.7037037037037037,0.6666666666666666,0.7777777777777778,0.75,0.9333333333333332
iteration_10,fold_5,0.2592592592592593,1.0,0.7407407407407407,0.7142857142857143,0.8108108108108109,0.773809523809524,0.9375
iteration_10,fold_6,0.1851851851851852,1.0,0.8148148148148148,0.8571428571428571,0.8780487804878048,0.7619047619047621,0.9
iteration_10,fold_7,0.1538461538461538,1.0,0.8461538461538461,0.9047619047619048,0.9047619047619048,0.7523809523809524,0.9047619047619048
iteration_10,fold_8,0.1923076923076923,1.0,0.8076923076923077,0.8095238095238095,0.8717948717948718,0.8047619047619049,0.9444444444444444
