iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision,recall
iteration_0,fold_0,0.8518518518518519,0.0,0.14814814814814814,0.1111111111111111,0.08,0.3227272727272727,0.3333333333333333,0.045454545454545456
iteration_0,fold_1,0.6666666666666667,0.0,0.3333333333333333,0.2962962962962963,0.39999999999999997,0.43636363636363634,0.75,0.2727272727272727
iteration_0,fold_2,0.9259259259259259,0.0,0.07407407407407407,0.14814814814814814,0.0,0.16666666666666669,0.0,0.0
iteration_0,fold_3,0.7777777777777778,0.0,0.2222222222222222,0.07407407407407407,0.08695652173913042,0.4404761904761905,0.5,0.047619047619047616
iteration_0,fold_4,0.7037037037037037,0.0,0.2962962962962963,0.07407407407407407,0.17391304347826084,0.5476190476190477,1.0,0.09523809523809523
iteration_0,fold_5,0.7407407407407407,0.0,0.25925925925925924,0.1111111111111111,0.16666666666666666,0.4642857142857143,0.6666666666666666,0.09523809523809523
iteration_0,fold_6,0.8148148148148149,0.0,0.18518518518518517,0.037037037037037035,0.0,0.4166666666666667,0.0,0.0
iteration_0,fold_7,0.6538461538461539,0.0,0.34615384615384615,0.15384615384615385,0.32,0.5952380952380952,1.0,0.19047619047619047
iteration_0,fold_8,0.8461538461538461,0.0,0.15384615384615385,0.2692307692307692,0.21428571428571427,0.1714285714285714,0.42857142857142855,0.14285714285714285
iteration_0,fold_9,0.6538461538461539,0.0,0.34615384615384615,0.15384615384615385,0.32,0.5952380952380952,1.0,0.19047619047619047
iteration_1,fold_0,0.8148148148148149,0.0,0.18518518518518517,0.14814814814814814,0.15384615384615385,0.3454545454545454,0.5,0.09090909090909091
iteration_1,fold_1,0.7407407407407407,0.0,0.25925925925925924,0.2222222222222222,0.28571428571428575,0.39090909090909093,0.6666666666666666,0.18181818181818182
iteration_1,fold_2,0.5925925925925926,0.0,0.4074074074074074,0.18518518518518517,0.3846153846153846,0.6190476190476191,1.0,0.23809523809523808
iteration_1,fold_3,0.7407407407407407,0.0,0.25925925925925924,0.1111111111111111,0.16666666666666666,0.4642857142857143,0.6666666666666666,0.09523809523809523
iteration_1,fold_4,0.6296296296296297,0.0,0.37037037037037035,0.2222222222222222,0.37037037037037035,0.5357142857142858,0.8333333333333334,0.23809523809523808
iteration_1,fold_5,0.8148148148148149,0.0,0.18518518518518517,0.18518518518518517,0.15384615384615385,0.29761904761904767,0.4,0.09523809523809523
iteration_1,fold_6,0.7037037037037037,0.0,0.2962962962962963,0.14814814814814814,0.24,0.4880952380952381,0.75,0.14285714285714285
iteration_1,fold_7,0.7307692307692308,0.0,0.2692307692307692,0.15384615384615385,0.24,0.4714285714285714,0.75,0.14285714285714285
iteration_1,fold_8,0.8461538461538461,0.0,0.15384615384615385,0.11538461538461539,0.08333333333333333,0.3238095238095238,0.3333333333333333,0.047619047619047616
iteration_1,fold_9,0.8846153846153846,0.0,0.11538461538461539,0.07692307692307693,0.0,0.3,0.0,0.0
iteration_2,fold_0,0.7407407407407407,0.0,0.25925925925925924,0.07407407407407407,0.16666666666666669,0.5454545454545454,1.0,0.09090909090909091
iteration_2,fold_1,0.8518518518518519,0.0,0.14814814814814814,0.25925925925925924,0.20689655172413793,0.16818181818181815,0.42857142857142855,0.13636363636363635
iteration_2,fold_2,0.7407407407407407,0.0,0.25925925925925924,0.1111111111111111,0.16666666666666666,0.4642857142857143,0.6666666666666666,0.09523809523809523
iteration_2,fold_3,0.8148148148148149,0.0,0.18518518518518517,0.18518518518518517,0.15384615384615385,0.29761904761904767,0.4,0.09523809523809523
iteration_2,fold_4,0.7407407407407407,0.0,0.25925925925925924,0.18518518518518517,0.23076923076923073,0.40476190476190477,0.6,0.14285714285714285
iteration_2,fold_5,0.7407407407407407,0.0,0.25925925925925924,0.1111111111111111,0.16666666666666666,0.4642857142857143,0.6666666666666666,0.09523809523809523
iteration_2,fold_6,0.6296296296296297,0.0,0.37037037037037035,0.2962962962962963,0.4137931034482759,0.4761904761904762,0.75,0.2857142857142857
iteration_2,fold_7,0.6538461538461539,0.0,0.34615384615384615,0.15384615384615385,0.32,0.5952380952380952,1.0,0.19047619047619047
iteration_2,fold_8,0.8076923076923077,0.0,0.19230769230769232,0.07692307692307693,0.08695652173913042,0.42380952380952386,0.5,0.047619047619047616
iteration_2,fold_9,0.8846153846153846,0.0,0.11538461538461539,0.15384615384615385,0.08,0.22380952380952385,0.25,0.047619047619047616
iteration_3,fold_0,0.7777777777777778,0.0,0.2222222222222222,0.1111111111111111,0.16,0.44545454545454544,0.6666666666666666,0.09090909090909091
iteration_3,fold_1,0.6666666666666667,0.0,0.3333333333333333,0.14814814814814814,0.3076923076923077,0.5909090909090909,1.0,0.18181818181818182
iteration_3,fold_2,0.7407407407407407,0.0,0.25925925925925924,0.1111111111111111,0.16666666666666666,0.4642857142857143,0.6666666666666666,0.09523809523809523
iteration_3,fold_3,0.8148148148148149,0.0,0.18518518518518517,0.1111111111111111,0.08333333333333333,0.3571428571428572,0.3333333333333333,0.047619047619047616
iteration_3,fold_4,0.7037037037037037,0.0,0.2962962962962963,0.14814814814814814,0.24,0.4880952380952381,0.75,0.14285714285714285
iteration_3,fold_5,0.7777777777777778,0.0,0.2222222222222222,0.14814814814814814,0.16,0.38095238095238104,0.5,0.09523809523809523
iteration_3,fold_6,0.6296296296296297,0.0,0.37037037037037035,0.2222222222222222,0.37037037037037035,0.5357142857142858,0.8333333333333334,0.23809523809523808
iteration_3,fold_7,0.8076923076923077,0.0,0.19230769230769232,0.0,0.0,0.5,0.0,0.0
iteration_3,fold_8,0.7692307692307692,0.0,0.23076923076923078,0.19230769230769232,0.23076923076923073,0.3714285714285714,0.6,0.14285714285714285
iteration_3,fold_9,0.8076923076923077,0.0,0.19230769230769232,0.23076923076923078,0.22222222222222224,0.2714285714285714,0.5,0.14285714285714285
iteration_4,fold_0,0.6296296296296297,0.0,0.37037037037037035,0.25925925925925924,0.41379310344827586,0.5363636363636364,0.8571428571428571,0.2727272727272727
iteration_4,fold_1,0.7037037037037037,0.0,0.2962962962962963,0.25925925925925924,0.3448275862068965,0.41363636363636364,0.7142857142857143,0.22727272727272727
iteration_4,fold_2,0.8148148148148149,0.0,0.18518518518518517,0.1111111111111111,0.08333333333333333,0.3571428571428572,0.3333333333333333,0.047619047619047616
