,iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision,recall
0,iteration_0,fold_0,0.11111111111111116,0.8583333333333333,0.8888888888888888,0.9259259259259259,0.9361702127659575,0.7,0.88,1.0
1,iteration_0,fold_1,0.2962962962962963,0.8625,0.7037037037037037,0.7407407407407407,0.8095238095238095,0.5863636363636364,0.85,0.7727272727272727
2,iteration_0,fold_2,0.2222222222222222,0.85,0.7777777777777778,0.9259259259259259,0.8695652173913043,0.5595238095238094,0.8,0.9523809523809523
3,iteration_0,fold_3,0.2222222222222222,0.8833333333333333,0.7777777777777778,0.8518518518518519,0.8636363636363636,0.6190476190476191,0.8260869565217391,0.9047619047619048
4,iteration_0,fold_4,0.37037037037037035,0.8708333333333333,0.6296296296296297,0.7777777777777778,0.7619047619047619,0.4642857142857142,0.7619047619047619,0.7619047619047619
5,iteration_0,fold_5,0.33333333333333337,0.875,0.6666666666666666,0.7407407407407407,0.7804878048780488,0.5476190476190477,0.8,0.7619047619047619
6,iteration_0,fold_6,0.18518518518518523,0.875,0.8148148148148148,0.9629629629629629,0.8936170212765957,0.5833333333333333,0.8076923076923077,1.0
7,iteration_0,fold_7,0.23076923076923073,0.8464730290456431,0.7692307692307693,0.8076923076923077,0.8571428571428571,0.6285714285714286,0.8571428571428571,0.8571428571428571
8,iteration_0,fold_8,0.2692307692307693,0.8713692946058091,0.7307692307692307,0.7692307692307693,0.8292682926829269,0.6047619047619048,0.85,0.8095238095238095
9,iteration_0,fold_9,0.23076923076923073,0.8547717842323651,0.7692307692307693,0.8076923076923077,0.8571428571428571,0.6285714285714286,0.8571428571428571,0.8571428571428571
10,iteration_1,fold_0,0.2222222222222222,0.8541666666666666,0.7777777777777778,0.7407407407407407,0.8571428571428572,0.7090909090909092,0.9,0.8181818181818182
11,iteration_1,fold_1,0.2962962962962963,0.8666666666666667,0.7037037037037037,0.8148148148148148,0.8181818181818182,0.5090909090909091,0.8181818181818182,0.8181818181818182
12,iteration_1,fold_2,0.33333333333333337,0.8625,0.6666666666666666,0.5925925925925926,0.7567567567567567,0.6666666666666667,0.875,0.6666666666666666
13,iteration_1,fold_3,0.2222222222222222,0.8625,0.7777777777777778,0.8518518518518519,0.8636363636363636,0.6190476190476191,0.8260869565217391,0.9047619047619048
