,iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision,recall
0,iteration_0,fold_0,0.2222222222222222,0.6708333333333333,0.7777777777777778,0.5925925925925926,0.8421052631578948,0.8636363636363636,1.0,0.7272727272727273
1,iteration_0,fold_1,0.4814814814814815,0.7083333333333334,0.5185185185185185,0.4074074074074074,0.6060606060606061,0.6272727272727273,0.9090909090909091,0.45454545454545453
2,iteration_0,fold_2,0.2222222222222222,0.7,0.7777777777777778,0.5555555555555556,0.8333333333333333,0.8571428571428572,1.0,0.7142857142857143
3,iteration_0,fold_3,0.18518518518518523,0.7166666666666667,0.8148148148148148,0.5925925925925926,0.8648648648648648,0.8809523809523809,1.0,0.7619047619047619
4,iteration_0,fold_4,0.33333333333333337,0.7125,0.6666666666666666,0.5925925925925926,0.7567567567567567,0.6666666666666667,0.875,0.6666666666666666
5,iteration_0,fold_5,0.2592592592592593,0.7041666666666667,0.7407407407407407,0.5185185185185185,0.8,0.8333333333333333,1.0,0.6666666666666666
6,iteration_0,fold_6,0.2962962962962963,0.7083333333333334,0.7037037037037037,0.5555555555555556,0.7777777777777778,0.75,0.9333333333333333,0.6666666666666666
7,iteration_0,fold_7,0.46153846153846156,0.6970954356846473,0.5384615384615384,0.4230769230769231,0.6249999999999999,0.638095238095238,0.9090909090909091,0.47619047619047616
8,iteration_0,fold_8,0.2692307692307693,0.7219917012448133,0.7307692307692307,0.5384615384615384,0.8,0.8333333333333333,1.0,0.6666666666666666
9,iteration_0,fold_9,0.42307692307692313,0.7053941908713693,0.5769230769230769,0.38461538461538464,0.6451612903225806,0.7380952380952381,1.0,0.47619047619047616
10,iteration_1,fold_0,0.37037037037037035,0.7208333333333333,0.6296296296296297,0.5185185185185185,0.7222222222222223,0.6954545454545454,0.9285714285714286,0.5909090909090909
11,iteration_1,fold_1,0.40740740740740744,0.7166666666666667,0.5925925925925926,0.4074074074074074,0.6666666666666666,0.75,1.0,0.5
12,iteration_1,fold_2,0.33333333333333337,0.6833333333333333,0.6666666666666666,0.4444444444444444,0.7272727272727273,0.7857142857142857,1.0,0.5714285714285714
13,iteration_1,fold_3,0.2962962962962963,0.7041666666666667,0.7037037037037037,0.48148148148148145,0.7647058823529412,0.8095238095238095,1.0,0.6190476190476191
14,iteration_1,fold_4,0.37037037037037035,0.7083333333333334,0.6296296296296297,0.5555555555555556,0.7222222222222222,0.6428571428571429,0.8666666666666667,0.6190476190476191
15,iteration_1,fold_5,0.2592592592592593,0.6833333333333333,0.7407407407407407,0.5925925925925926,0.8108108108108109,0.773809523809524,0.9375,0.7142857142857143
16,iteration_1,fold_6,0.37037037037037035,0.7166666666666667,0.6296296296296297,0.48148148148148145,0.7058823529411765,0.7023809523809523,0.9230769230769231,0.5714285714285714
17,iteration_1,fold_7,0.23076923076923073,0.6929460580912863,0.7692307692307693,0.5769230769230769,0.8333333333333333,0.8571428571428572,1.0,0.7142857142857143
18,iteration_1,fold_8,0.2692307692307693,0.7178423236514523,0.7307692307692307,0.6153846153846154,0.8108108108108109,0.7571428571428572,0.9375,0.7142857142857143
19,iteration_1,fold_9,0.2692307692307693,0.6887966804979253,0.7307692307692307,0.5384615384615384,0.8,0.8333333333333333,1.0,0.6666666666666666
