,iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision,recall
230,iteration_23,fold_0,0.18518518518518523,0.875,0.8148148148148148,0.8518518518518519,0.888888888888889,0.6545454545454545,0.8695652173913043,0.9090909090909091
231,iteration_23,fold_1,0.18518518518518523,0.8375,0.8148148148148148,0.8518518518518519,0.888888888888889,0.6545454545454545,0.8695652173913043,0.9090909090909091
232,iteration_23,fold_2,0.14814814814814814,0.8625,0.8518518518518519,0.9259259259259259,0.9130434782608696,0.6666666666666667,0.84,1.0
233,iteration_23,fold_3,0.33333333333333337,0.85,0.6666666666666666,0.6666666666666666,0.7692307692307692,0.6071428571428572,0.8333333333333334,0.7142857142857143
234,iteration_23,fold_4,0.2962962962962963,0.8625,0.7037037037037037,0.7037037037037037,0.8,0.6309523809523809,0.8421052631578947,0.7619047619047619
235,iteration_23,fold_5,0.18518518518518523,0.8541666666666666,0.8148148148148148,0.8148148148148148,0.8837209302325582,0.7023809523809523,0.8636363636363636,0.9047619047619048
236,iteration_23,fold_6,0.18518518518518523,0.8458333333333333,0.8148148148148148,0.9629629629629629,0.8936170212765957,0.5833333333333333,0.8076923076923077,1.0
237,iteration_23,fold_7,0.2692307692307693,0.8340248962655602,0.7307692307692307,0.8461538461538461,0.8372093023255814,0.5285714285714286,0.8181818181818182,0.8571428571428571
238,iteration_23,fold_8,0.3076923076923077,0.8423236514522822,0.6923076923076923,0.7307692307692307,0.8,0.5809523809523809,0.8421052631578947,0.7619047619047619
239,iteration_23,fold_9,0.2692307692307693,0.8589211618257261,0.7307692307692307,0.7692307692307693,0.8292682926829269,0.6047619047619048,0.85,0.8095238095238095
240,iteration_24,fold_0,0.2962962962962963,0.8333333333333334,0.7037037037037037,0.8148148148148148,0.8181818181818182,0.5090909090909091,0.8181818181818182,0.8181818181818182
241,iteration_24,fold_1,0.33333333333333337,0.8458333333333333,0.6666666666666666,0.7777777777777778,0.7906976744186046,0.48636363636363633,0.8095238095238095,0.7727272727272727
242,iteration_24,fold_2,0.2592592592592593,0.8541666666666666,0.7407407407407407,0.8888888888888888,0.8444444444444444,0.5357142857142857,0.7916666666666666,0.9047619047619048
243,iteration_24,fold_3,0.2592592592592593,0.8625,0.7407407407407407,0.7407407407407407,0.8292682926829269,0.6547619047619048,0.85,0.8095238095238095
244,iteration_24,fold_4,0.2592592592592593,0.85,0.7407407407407407,0.8888888888888888,0.8444444444444444,0.5357142857142857,0.7916666666666666,0.9047619047619048
245,iteration_24,fold_5,0.33333333333333337,0.85,0.6666666666666666,0.8148148148148148,0.7906976744186046,0.4880952380952381,0.7727272727272727,0.8095238095238095
246,iteration_24,fold_6,0.18518518518518523,0.8541666666666666,0.8148148148148148,0.8148148148148148,0.8837209302325582,0.7023809523809523,0.8636363636363636,0.9047619047619048
247,iteration_24,fold_7,0.15384615384615385,0.8464730290456431,0.8461538461538461,0.9615384615384616,0.9130434782608696,0.6,0.84,1.0
248,iteration_24,fold_8,0.3076923076923077,0.8506224066390041,0.6923076923076923,0.8076923076923077,0.8095238095238095,0.5047619047619047,0.8095238095238095,0.8095238095238095
249,iteration_24,fold_9,0.3076923076923077,0.8423236514522822,0.6923076923076923,0.8076923076923077,0.8095238095238095,0.5047619047619047,0.8095238095238095,0.8095238095238095
250,iteration_25,fold_0,0.2962962962962963,0.8541666666666666,0.7037037037037037,0.7407407407407407,0.8095238095238095,0.5863636363636364,0.85,0.7727272727272727
251,iteration_25,fold_1,0.18518518518518523,0.8666666666666667,0.8148148148148148,0.8518518518518519,0.888888888888889,0.6545454545454545,0.8695652173913043,0.9090909090909091
252,iteration_25,fold_2,0.2962962962962963,0.8666666666666667,0.7037037037037037,0.7037037037037037,0.8,0.6309523809523809,0.8421052631578947,0.7619047619047619
253,iteration_25,fold_3,0.33333333333333337,0.8375,0.6666666666666666,0.8148148148148148,0.7906976744186046,0.4880952380952381,0.7727272727272727,0.8095238095238095
254,iteration_25,fold_4,0.2592592592592593,0.85,0.7407407407407407,0.8148148148148148,0.8372093023255814,0.5952380952380953,0.8181818181818182,0.8571428571428571
255,iteration_25,fold_5,0.18518518518518523,0.8583333333333333,0.8148148148148148,0.8148148148148148,0.8837209302325582,0.7023809523809523,0.8636363636363636,0.9047619047619048
256,iteration_25,fold_6,0.2592592592592593,0.8416666666666667,0.7407407407407407,0.8148148148148148,0.8372093023255814,0.5952380952380953,0.8181818181818182,0.8571428571428571
257,iteration_25,fold_7,0.3076923076923077,0.8672199170124482,0.6923076923076923,0.8846153846153846,0.8181818181818182,0.42857142857142855,0.782608695652174,0.8571428571428571
258,iteration_25,fold_8,0.23076923076923073,0.8672199170124482,0.7692307692307693,0.8846153846153846,0.8636363636363636,0.5523809523809524,0.8260869565217391,0.9047619047619048
259,iteration_25,fold_9,0.2692307692307693,0.8298755186721992,0.7307692307692307,0.7692307692307693,0.8292682926829269,0.6047619047619048,0.85,0.8095238095238095
260,iteration_26,fold_0,0.11111111111111116,0.8541666666666666,0.8888888888888888,0.8518518518518519,0.9333333333333332,0.7772727272727272,0.9130434782608695,0.9545454545454546
261,iteration_26,fold_1,0.33333333333333337,0.8666666666666667,0.6666666666666666,0.7777777777777778,0.7906976744186046,0.48636363636363633,0.8095238095238095,0.7727272727272727
262,iteration_26,fold_2,0.18518518518518523,0.85,0.8148148148148148,0.8888888888888888,0.888888888888889,0.6428571428571428,0.8333333333333334,0.9523809523809523
263,iteration_26,fold_3,0.2592592592592593,0.8541666666666666,0.7407407407407407,0.9629629629629629,0.8510638297872339,0.47619047619047616,0.7692307692307693,0.9523809523809523
264,iteration_26,fold_4,0.2962962962962963,0.8666666666666667,0.7037037037037037,0.7777777777777778,0.8095238095238095,0.5714285714285714,0.8095238095238095,0.8095238095238095
265,iteration_26,fold_5,0.2222222222222222,0.8375,0.7777777777777778,0.7777777777777778,0.8571428571428571,0.6785714285714286,0.8571428571428571,0.8571428571428571
266,iteration_26,fold_6,0.2962962962962963,0.8708333333333333,0.7037037037037037,0.8518518518518519,0.8181818181818182,0.5119047619047619,0.782608695652174,0.8571428571428571
267,iteration_26,fold_7,0.2692307692307693,0.8381742738589212,0.7307692307692307,0.7692307692307693,0.8292682926829269,0.6047619047619048,0.85,0.8095238095238095
