,iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision,recall
4,iteration_0,fold_4,0.40740740740740744,0.9125,0.5925925925925926,0.6666666666666666,0.717948717948718,0.5,0.7777777777777778,0.6666666666666666
5,iteration_0,fold_5,0.37037037037037035,0.9375,0.6296296296296297,0.5555555555555556,0.7222222222222222,0.6428571428571429,0.8666666666666667,0.6190476190476191
6,iteration_0,fold_6,0.14814814814814814,0.9333333333333333,0.8518518518518519,0.7037037037037037,0.9,0.8452380952380952,0.9473684210526315,0.8571428571428571
7,iteration_0,fold_7,0.5,0.9253112033195021,0.5,0.6153846153846154,0.6486486486486486,0.3857142857142857,0.75,0.5714285714285714
8,iteration_0,fold_8,0.23076923076923073,0.9294605809128631,0.7692307692307693,0.5769230769230769,0.8333333333333333,0.8571428571428572,1.0,0.7142857142857143
9,iteration_0,fold_9,0.3076923076923077,0.9253112033195021,0.6923076923076923,0.5769230769230769,0.7777777777777778,0.7333333333333333,0.9333333333333333,0.6666666666666666
10,iteration_1,fold_0,0.18518518518518523,0.9166666666666666,0.8148148148148148,0.6296296296296297,0.8717948717948718,0.8863636363636364,1.0,0.7727272727272727
11,iteration_1,fold_1,0.4444444444444444,0.9416666666666667,0.5555555555555556,0.5185185185185185,0.6666666666666665,0.5727272727272728,0.8571428571428571,0.5454545454545454
12,iteration_1,fold_2,0.33333333333333337,0.9208333333333333,0.6666666666666666,0.4444444444444444,0.7272727272727273,0.7857142857142857,1.0,0.5714285714285714
13,iteration_1,fold_3,0.2962962962962963,0.9125,0.7037037037037037,0.6296296296296297,0.7894736842105262,0.6904761904761906,0.8823529411764706,0.7142857142857143
14,iteration_1,fold_4,0.37037037037037035,0.9375,0.6296296296296297,0.5555555555555556,0.7222222222222222,0.6428571428571429,0.8666666666666667,0.6190476190476191
15,iteration_1,fold_5,0.2592592592592593,0.9291666666666667,0.7407407407407407,0.5185185185185185,0.8,0.8333333333333333,1.0,0.6666666666666666
16,iteration_1,fold_6,0.5185185185185186,0.9333333333333333,0.48148148148148145,0.5555555555555556,0.611111111111111,0.4285714285714286,0.7333333333333333,0.5238095238095238
17,iteration_1,fold_7,0.23076923076923073,0.91701244813278,0.7692307692307693,0.5769230769230769,0.8333333333333333,0.8571428571428572,1.0,0.7142857142857143
18,iteration_1,fold_8,0.23076923076923073,0.9045643153526971,0.7692307692307693,0.7307692307692307,0.8500000000000001,0.7047619047619047,0.8947368421052632,0.8095238095238095
