iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision,recall
iteration_0,fold_0,0.18518518518518523,0.9666666666666667,0.8148148148148148,0.7777777777777778,0.8837209302325582,0.7318181818181818,0.9047619047619048,0.8636363636363636
iteration_0,fold_1,0.40740740740740744,0.9583333333333334,0.5925925925925926,0.48148148148148145,0.6857142857142856,0.6727272727272727,0.9230769230769231,0.5454545454545454
iteration_0,fold_2,0.14814814814814814,0.9625,0.8518518518518519,0.7037037037037037,0.9,0.8452380952380952,0.9473684210526315,0.8571428571428571
iteration_0,fold_3,0.14814814814814814,0.9583333333333334,0.8518518518518519,0.7037037037037037,0.9,0.8452380952380952,0.9473684210526315,0.8571428571428571
iteration_0,fold_4,0.33333333333333337,0.9791666666666666,0.6666666666666666,0.5925925925925926,0.7567567567567567,0.6666666666666667,0.875,0.6666666666666666
iteration_0,fold_5,0.14814814814814814,0.9583333333333334,0.8518518518518519,0.7037037037037037,0.9,0.8452380952380952,0.9473684210526315,0.8571428571428571
iteration_0,fold_6,0.2962962962962963,0.9666666666666667,0.7037037037037037,0.6296296296296297,0.7894736842105262,0.6904761904761906,0.8823529411764706,0.7142857142857143
iteration_0,fold_7,0.42307692307692313,0.9626556016597511,0.5769230769230769,0.46153846153846156,0.6666666666666667,0.661904761904762,0.9166666666666666,0.5238095238095238
iteration_0,fold_8,0.11538461538461542,0.970954356846473,0.8846153846153846,0.6923076923076923,0.923076923076923,0.9285714285714286,1.0,0.8571428571428571
iteration_0,fold_9,0.34615384615384615,0.970954356846473,0.6538461538461539,0.5384615384615384,0.742857142857143,0.7095238095238096,0.9285714285714286,0.6190476190476191
iteration_1,fold_0,0.18518518518518523,0.975,0.8148148148148148,0.6296296296296297,0.8717948717948718,0.8863636363636364,1.0,0.7727272727272727
iteration_1,fold_1,0.37037037037037035,0.9333333333333333,0.6296296296296297,0.4444444444444444,0.7058823529411764,0.7727272727272727,1.0,0.5454545454545454
iteration_1,fold_2,0.33333333333333337,0.9625,0.6666666666666666,0.5185185185185185,0.742857142857143,0.7261904761904763,0.9285714285714286,0.6190476190476191
iteration_1,fold_3,0.2962962962962963,0.9666666666666667,0.7037037037037037,0.5555555555555556,0.7777777777777778,0.75,0.9333333333333333,0.6666666666666666
iteration_1,fold_4,0.37037037037037035,0.9583333333333334,0.6296296296296297,0.5555555555555556,0.7222222222222222,0.6428571428571429,0.8666666666666667,0.6190476190476191
iteration_1,fold_5,0.2222222222222222,0.9583333333333334,0.7777777777777778,0.6296296296296297,0.8421052631578947,0.7976190476190477,0.9411764705882353,0.7619047619047619
iteration_1,fold_6,0.37037037037037035,0.9666666666666667,0.6296296296296297,0.5555555555555556,0.7222222222222222,0.6428571428571429,0.8666666666666667,0.6190476190476191
iteration_1,fold_7,0.1923076923076923,0.9626556016597511,0.8076923076923077,0.6153846153846154,0.8648648648648648,0.8809523809523809,1.0,0.7619047619047619
iteration_1,fold_8,0.15384615384615385,0.9626556016597511,0.8461538461538461,0.7307692307692307,0.9,0.8285714285714286,0.9473684210526315,0.8571428571428571
iteration_1,fold_9,0.23076923076923073,0.9585062240663901,0.7692307692307693,0.7307692307692307,0.8500000000000001,0.7047619047619047,0.8947368421052632,0.8095238095238095
iteration_2,fold_0,0.18518518518518523,0.9625,0.8148148148148148,0.6296296296296297,0.8717948717948718,0.8863636363636364,1.0,0.7727272727272727
iteration_2,fold_1,0.33333333333333337,0.975,0.6666666666666666,0.48148148148148145,0.7428571428571429,0.7954545454545454,1.0,0.5909090909090909
iteration_2,fold_2,0.2222222222222222,0.9625,0.7777777777777778,0.6296296296296297,0.8421052631578947,0.7976190476190477,0.9411764705882353,0.7619047619047619
iteration_2,fold_3,0.2962962962962963,0.9666666666666667,0.7037037037037037,0.6296296296296297,0.7894736842105262,0.6904761904761906,0.8823529411764706,0.7142857142857143
iteration_2,fold_4,0.2222222222222222,0.9583333333333334,0.7777777777777778,0.6296296296296297,0.8421052631578947,0.7976190476190477,0.9411764705882353,0.7619047619047619
iteration_2,fold_5,0.2222222222222222,0.9166666666666666,0.7777777777777778,0.6296296296296297,0.8421052631578947,0.7976190476190477,0.9411764705882353,0.7619047619047619
iteration_2,fold_6,0.37037037037037035,0.9625,0.6296296296296297,0.5555555555555556,0.7222222222222222,0.6428571428571429,0.8666666666666667,0.6190476190476191
iteration_2,fold_7,0.42307692307692313,0.91701244813278,0.5769230769230769,0.6153846153846154,0.7027027027027026,0.5095238095238095,0.8125,0.6190476190476191
iteration_2,fold_8,0.1923076923076923,0.9626556016597511,0.8076923076923077,0.6153846153846154,0.8648648648648648,0.8809523809523809,1.0,0.7619047619047619
iteration_2,fold_9,0.1923076923076923,0.9543568464730291,0.8076923076923077,0.6923076923076923,0.8717948717948718,0.8047619047619049,0.9444444444444444,0.8095238095238095
iteration_3,fold_0,0.2592592592592593,0.9,0.7407407407407407,0.5555555555555556,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818
iteration_3,fold_1,0.18518518518518523,0.9625,0.8148148148148148,0.7777777777777778,0.8837209302325582,0.7318181818181818,0.9047619047619048,0.8636363636363636
iteration_3,fold_2,0.18518518518518523,0.9708333333333333,0.8148148148148148,0.7407407407407407,0.8780487804878048,0.7619047619047621,0.9,0.8571428571428571
iteration_3,fold_3,0.2962962962962963,0.9666666666666667,0.7037037037037037,0.5555555555555556,0.7777777777777778,0.75,0.9333333333333333,0.6666666666666666
iteration_3,fold_4,0.2222222222222222,0.9375,0.7777777777777778,0.5555555555555556,0.8333333333333333,0.8571428571428572,1.0,0.7142857142857143
iteration_3,fold_5,0.2222222222222222,0.9541666666666667,0.7777777777777778,0.5555555555555556,0.8333333333333333,0.8571428571428572,1.0,0.7142857142857143
