iteration,fold,error_rate,train_accuracy,test_accuracy,coverage,f1_score,AUC,precision
iteration_2,fold_3,0.2592592592592593,0.8041666666666667,0.7407407407407407,0.8571428571428571,0.8372093023255814,0.5952380952380953,0.8181818181818182
iteration_2,fold_4,0.1481481481481481,1.0,0.8518518518518519,1.0,0.9130434782608696,0.6666666666666667,0.84
iteration_2,fold_5,0.1111111111111111,0.8333333333333334,0.8888888888888888,0.9523809523809524,0.9302325581395348,0.8095238095238095,0.9090909090909092
iteration_2,fold_6,0.3703703703703703,0.85,0.6296296296296297,0.7619047619047619,0.7619047619047619,0.4642857142857142,0.7619047619047619
iteration_2,fold_7,0.2307692307692307,0.8547717842323651,0.7692307692307693,0.9047619047619048,0.8636363636363636,0.5523809523809524,0.8260869565217391
iteration_2,fold_8,0.1923076923076923,0.8423236514522822,0.8076923076923077,0.9047619047619048,0.8837209302325582,0.6523809523809523,0.8636363636363636
iteration_2,fold_9,0.3076923076923077,0.8215767634854771,0.6923076923076923,0.7619047619047619,0.8,0.5809523809523809,0.8421052631578947
iteration_3,fold_0,0.1481481481481481,1.0,0.8518518518518519,0.9090909090909092,0.9090909090909092,0.7545454545454546,0.9090909090909092
iteration_3,fold_1,0.2222222222222222,0.8458333333333333,0.7777777777777778,0.8636363636363636,0.8636363636363636,0.6318181818181818,0.8636363636363636
iteration_3,fold_2,0.2962962962962963,1.0,0.7037037037037037,0.8571428571428571,0.8181818181818182,0.5119047619047619,0.782608695652174
iteration_3,fold_3,0.2592592592592593,0.8458333333333333,0.7407407407407407,0.9047619047619048,0.8444444444444444,0.5357142857142857,0.7916666666666666
iteration_3,fold_4,0.2592592592592593,0.8291666666666667,0.7407407407407407,0.8095238095238095,0.8292682926829269,0.6547619047619048,0.85
iteration_3,fold_5,0.1851851851851852,1.0,0.8148148148148148,0.9523809523809524,0.888888888888889,0.6428571428571428,0.8333333333333334
iteration_3,fold_6,0.2592592592592593,1.0,0.7407407407407407,0.8095238095238095,0.8292682926829269,0.6547619047619048,0.85
iteration_3,fold_7,0.1923076923076923,0.8423236514522822,0.8076923076923077,0.9047619047619048,0.8837209302325582,0.6523809523809523,0.8636363636363636
iteration_3,fold_8,0.1923076923076923,1.0,0.8076923076923077,0.9047619047619048,0.8837209302325582,0.6523809523809523,0.8636363636363636
iteration_3,fold_9,0.2692307692307693,0.8464730290456431,0.7307692307692307,0.9047619047619048,0.8444444444444444,0.4523809523809524,0.7916666666666666
iteration_4,fold_0,0.1481481481481481,1.0,0.8518518518518519,0.9545454545454546,0.9130434782608696,0.6772727272727272,0.875
iteration_4,fold_1,0.1481481481481481,1.0,0.8518518518518519,0.9090909090909092,0.9090909090909092,0.7545454545454546,0.9090909090909092
iteration_4,fold_2,0.2962962962962963,1.0,0.7037037037037037,0.8571428571428571,0.8181818181818182,0.5119047619047619,0.782608695652174
iteration_4,fold_3,0.2592592592592593,0.8541666666666666,0.7407407407407407,0.8095238095238095,0.8292682926829269,0.6547619047619048,0.85
iteration_4,fold_4,0.2592592592592593,0.8625,0.7407407407407407,0.8095238095238095,0.8292682926829269,0.6547619047619048,0.85
iteration_4,fold_5,0.4074074074074074,0.8916666666666667,0.5925925925925926,0.7142857142857143,0.7317073170731706,0.4404761904761904,0.75
iteration_4,fold_6,0.2592592592592593,0.8583333333333333,0.7407407407407407,0.8571428571428571,0.8372093023255814,0.5952380952380953,0.8181818181818182
iteration_4,fold_7,0.1923076923076923,0.8381742738589212,0.8076923076923077,0.8571428571428571,0.8780487804878048,0.7285714285714286,0.9
iteration_4,fold_8,0.1538461538461538,1.0,0.8461538461538461,0.9523809523809524,0.909090909090909,0.6761904761904762,0.8695652173913043
iteration_4,fold_9,0.1923076923076923,0.8423236514522822,0.8076923076923077,0.9523809523809524,0.888888888888889,0.5761904761904761,0.8333333333333334
iteration_5,fold_0,0.1481481481481481,0.8416666666666667,0.8518518518518519,0.8636363636363636,0.9047619047619048,0.831818181818182,0.95
iteration_5,fold_1,0.1481481481481481,0.8291666666666667,0.8518518518518519,0.9545454545454546,0.9130434782608696,0.6772727272727272,0.875
iteration_5,fold_2,0.2592592592592593,0.8583333333333333,0.7407407407407407,0.9047619047619048,0.8444444444444444,0.5357142857142857,0.7916666666666666
iteration_5,fold_3,0.2222222222222222,1.0,0.7777777777777778,0.9047619047619048,0.8636363636363636,0.6190476190476191,0.8260869565217391
iteration_5,fold_4,0.2962962962962963,0.8666666666666667,0.7037037037037037,0.7619047619047619,0.8,0.6309523809523809,0.8421052631578947
iteration_5,fold_5,0.2592592592592593,0.8625,0.7407407407407407,0.8095238095238095,0.8292682926829269,0.6547619047619048,0.85
iteration_5,fold_6,0.1481481481481481,0.8,0.8518518518518519,0.9047619047619048,0.9047619047619048,0.7857142857142858,0.9047619047619048
